Budget	Bucket	Processor	Short Processor	RAM	Short RAM	GPU	Short GPU	VRAM	Short VRAM	Storage	Short Storage
40000	BV	i3 5th/6th/7th gen is capable of running the vast majority f standard computer programs with ease. Be it web browsing, editing documents, or watching movies. However, for running engineering softwares or rendering a heavy file in photo/video editor or compiling a lengthy code or running demanding games smoothly, i5 processor is preferred. For a good machine with i5 processor, you will have to spend over Rs.42,000. It is not that i3 is not capable, its just that i5 would perform better.	i5 6th/7th Gen would be great. i3 6th/7th Gen is workable.	DDR4 type RAM is 20-30% faster than DDR3 type RAM.  RAM can anyways be upgraded later, so in case you are unhappy with 4GB, you can later expand it to 8GB. 8GB will be helpful in high-resolution gaming, photo editing, running engineering softwares, video editing and smooth multi-tasking between different programs.	8GB RAM would be perfect. 4GB is workable. Try buying DDR4 type RAM.	You will need dedicated graphics processor only for the purpose of gaming and video editing. Try not opting for a low-end graphic card (like AMD R5 M430/M335/M330). High end won't be possible in this budget. Mid-range GPUs shall work fine.	Try buying a mid-range GPU (NV GT 940MX,930MX,920MX)	Mid-range GPUs are not capable of utilizing more than 2GB of VRAM in most cases.	2GB VRAM is enough.	There are 3 types of storages: SSD, 7200RPM HDD and 5400RPM HDD.  SSD: Its much faster, quieter and lighter than both HDD, but its 5-10 times expensive too.  HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Choose between 500GB and 1TB of 5400RPM HDD.
40000	BVT	You will see mainly 4 categories of intel processors in laptops within your budget - i3, Pentium, Atom and Celeron. I3 is better than rest three. Although i3 won't be able to provide enough computational capability for running demanding games or engineering softwares or rendering a heavy file in photo/video editor or compiling a lengthy code.	You need i5 6th/7th generation processor. Buy atleat i3 6th/7th Gen processor.	8GB will be good for running games, photo/video editing softwares, running engineering softwares, coding and will also be helpful in multi-tasking. 4GB won't suffice. However, majority options available in the market have only 4GB of RAM. The good part is - RAM can be upgraded later. So in case you are unhappy with 4GB, you can later expand it to 8GB.	Choose atleast 4GB.	It will be difficult to find a laptop with dedicated graphics processor within your budget. You will have to compromise on demanding games and high-resolution video-editing. Light games can be played. 	You need dedicated graphics processor, integrated graphics won't suffice.	Mid-range GPUs are not capable of utilizing more than 2GB of VRAM in most cases.	2GB VRAM is enough.	Mainly 3 types of touch laptops : 360 degree, detachable and normal touch screen laptop.  360 degree : screen rotated 360 degrees, so you can fold the laptop as a book and use as a tablet. (HDD storage)  Detachable : the keyboard can be detached from the laptop, and screen be used as tablet (you will find eMMC storage in screen, and HDD storage in keyboard)  Normal touch screen : usual laptop, where screen happens to be touch. (HDD storage)	for 360 laptops : choose 500GB/1TB HDD, for detachable : 500GB HDD+64GB eMMC
60000	B	Considering your budget, you can afford i5. i5 processors have higher computational capabilities than i3. But you don't need an i5 processor, it would be more than required considering your usage. You won't be able to utilize its capabilities. i3 processor is capable of running the vast majority of standard computer programs with ease. Be it web browsing, editing documents, making presentations or watching movies. You will be good with an i3 6th/7th generation processor. 	i3 6th/7th Gen is enough. i5 6th/7th Gen is more than enough.	DDR4 type RAM is 20-30% faster than DDR3 type RAM.	4GB would be enough for your usage. Buy DDR4 type RAM.	As per your usage you don't need a dedicated graphics card. Dedicated grpahics card is needed for graphics intensive tasks like playing demanding games or professional video editing.	Integrated graphics will be enough.		Not applicable for integrated graphics.	There are 3 types of storages: SSD, 7200RPM HDD and 5400RPM HDD.  SSD: Its much faster, quieter and lighter than both HDD, but its 5-10 times expensive too.  HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Try buying SSD storage.
60000	BT	Considering your budget, you can afford i5. i5 processors hav higher computational capabilities than i3. But you don't need an i5 processor, it would be more than required considering your usage. You won't be able to utilize its capabilities. i3 processor is capable of running the vast majority of standard computer programs with ease. Be it web browsing, editing documents, making presentations or watching movies. You will be good with an i3 6th/7th generation processor.	i3 6th/7th Gen is enough. i5 6th/7th Gen is more than enough.	DDR4 type RAM is 20-30% faster than DDR3 type RAM.	4GB would be enough for your usage. Buy DDR4 type RAM.	As per your usage you don't need a dedicated graphics card. Dedicated grpahics card is needed for graphics intensive tasks like playing demanding games or professional video editing.	Integrated graphics will be enough.		Not applicable for integrated graphics.	There are 3 types of storages: SSD, 7200RPM HDD and 5400RPM HDD.  SSD: Its much faster, quieter and lighter than both HDD, but its 5-10 times expensive too.  HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Choose between 500GB and 1TB of 5400RPM HDD.
60000	BP	Don't opt for 5th gen, it is pretty old now, new generations are better. i3 won't be able to provide enough computational capability for running engineering softwares  or rendering a heavy file in photo editor or compiling a lengthy code. i7 5th/6th/7th gen would be great, but won't fit into your budget. i5 6th/7th gen is good and enough.	You need i5 6th/7th generation processor.	DDR4 type RAM is 20-30% faster than DDR3 type RAM.  8GB will be required for photo editing softwares, running engineering softwares, coding and will also be helpful in multi-tasking. 4GB won't suffice. However, majority options available in the market have only 4GB of RAM. The good part is - RAM can be upgraded later. So in case you are unhappy with 4GB, you can later expand it to 8GB.	8GB RAM would be perfect. 4GB is workable. Try buying DDR4 type RAM.	As per your usage you don't need a dedicated graphics card. Dedicated grpahics card is needed for graphics intensive tasks like playing demanding games or professional video editing. Photo editing softwares / Engineering softwares / Coding are more cpu intensive than gpu intensive. A good processor and RAM are important.	Integrated graphics will be enough.		Not applicable for integrated graphics.	There are 3 types of storages: SSD, 7200RPM HDD and 5400RPM HDD.  SSD: Its much faster, quieter and lighter than both HDD, but its 5-10 times expensive too.  HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Try buying SSD storage.
60000	BPT	Don't opt for 5th gen, it is pretty old now, new generations are better. i3 won't be able to provide enough computational capability for running engineering softwares  or rendering a heavy file in photo editor or compiling a lengthy code. i7 5th/6th/7th gen would be great, but won't fit into your budget. i5 6th/7th gen is good and enough.	You need i5 6th/7th generation processor.	DDR4 type RAM is 20-30% faster than DDR3 type RAM.  8GB will be required for photo editing softwares, running engineering softwares, coding and will also be helpful in multi-tasking. 4GB won't suffice. However, majority options available in the market have only 4GB of RAM. The good part is - RAM can be upgraded later. So in case you are unhappy with 4GB, you can later expand it to 8GB.	8GB RAM would be perfect. 4GB is workable. Try buying DDR4 type RAM.	As per your usage you don't need a dedicated graphics card. Dedicated grpahics card is needed for graphics intensive tasks like playing demanding games or professional video editing. Photo editing softwares / Engineering softwares / Coding are more cpu intensive than gpu intensive. A good processor and RAM are important.	Integrated graphics will be enough.		Not applicable for integrated graphics.	There are 3 types of storages: SSD, 7200RPM HDD and 5400RPM HDD.  SSD: Its much faster, quieter and lighter than both HDD, but its 5-10 times expensive too.  HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Choose between 500GB and 1TB of 5400RPM HDD.
60000	BV	Don't opt for 5th gen, it is pretty old now, new generations are better. i3 won't be able to provide enough computational capability for running engineering softwares or rendering a heavy file in photo/video editor or compiling a lengthy code or running demanding games smoothly. i7 5th/6th/7th gen would be great, but won't fit into your budget. i5 5th/6th/7th gen is good and enough.	i5 6th/7th Gen would be great. i3 6th/7th Gen is workable.	DDR4 type RAM is 20-30% faster than DDR3 type RAM.  8GB will be required for gaming , photo/video editing and running engineering softwares and coding. 4GB won't suffice. For example, if you play Battlefield 1 even at low resolution, it will utilize nearly 7GB of RAM !	8GB RAM would be perfect. 4GB is workable. Try buying DDR4 type RAM.	You will need dedicated graphics processor only for the purpose of gaming and video editing. Try not opting for a low-end graphic card (like AMD R5 M430/M335/M330). High end won't be possible in this budget. Mid-range GPUs shall work fine.	Try buying a mid-range GPU (NV GT 940MX,930MX,920MX)	Mid-range GPUs are not capable of utilizing more than 2GB of VRAM in most cases.	2GB VRAM is enough.	There are 3 types of storages: SSD, 7200RPM HDD and 5400RPM HDD.  SSD: Its much faster, quieter and lighter than both HDD, but its 5-10 times expensive too.  HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Choose between 500GB and 1TB of 5400RPM HDD.
60000	BVT	Don't opt for 5th gen, it is pretty old now, new generations are better. i3 won't be able to provide enough computational capability for running demanding games or engineering softwares  or rendering a heavy file in photo/video editor or compiling a lengthy code. i7 5th/6th/7th gen would be great, but won't fit into your budget. i5 6th/7th gen is good and enough.	You need i5 6th/7th generation processor.	DDR4 type RAM is 20-30% faster than DDR3 type RAM.  8GB will be required for gaming, photo/video editing softwares, running engineering softwares, coding and will also be helpful in multi-tasking. 4GB won't suffice. However, majority options available in the market have only 4GB of RAM. The good part is - RAM can be upgraded later. So in case you are unhappy with 4GB, you can later expand it to 8GB.	8GB RAM would be perfect. 4GB is workable. Try buying DDR4 type RAM.	You will need dedicated graphics processor only for the purpose of gaming and video editing. Try not opting for a low-end graphic card (like AMD R5 M430/M335/M330). High end won't be possible in this budget. Mid-range GPUs shall work fine.	Try buying a mid-range GPU (NV GT 940MX,930MX,920MX)	Mid-range GPUs are not capable of utilizing more than 2GB of VRAM in most cases.	2GB VRAM is enough.	There are 3 types of storages: SSD, 7200RPM HDD and 5400RPM HDD.  SSD: Its much faster, quieter and lighter than both HDD, but its 5-10 times expensive too.  HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Choose between 500GB and 1TB of 5400RPM HDD.
80000	B	Considering your budget, you can afford i5/i7. i5/i7 processors have higher computational capabilities than i3. But you don't need an i5/i7 processor, it would be more than required considering your usage. You won't be able to utilize its capabilities. i3 processor is capable of running the vast majority of standard computer programs with ease. Be it web browsing, editing documents, making presentations or watching movies. You will be good with an i3 6th/7th generation processor. 	6th/7th Generation of i3, i5 or i7 - any will be fine for you.	DDR4 type RAM is 20-30% faster than DDR3 type RAM.	4GB would be enough for your usage. Buy DDR4 type RAM.	As per your usage you don't need a dedicated graphics card. Dedicated grpahics card is needed for graphics intensive tasks like playing demanding games or professional video editing.	Integrated graphics will be enough.		Not applicable for integrated graphics.	There are 3 types of storages: SSD, 7200RPM HDD and 5400RPM HDD.  SSD: Its much faster, quieter and lighter than both HDD, but its 5-10 times expensive too.  HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Buy SSD storage.
80000	BT	Considering your budget, you can afford i5/i7. i5/i7 processors have higher computational capabilities than i3. But you don't need an i5/i7 processor, it would be more than required considering your usage. You won't be able to utilize its capabilities. i3 processor is capable of running the vast majority of standard computer programs with ease. Be it web browsing, editing documents, making presentations or watching movies. You will be good with an i3 6th/7th generation processor.	6th/7th Generation of i3, i5 or i7 - any will be fine for you.	DDR4 type RAM is 20-30% faster than DDR3 type RAM.	4GB would be enough for your usage. Buy DDR4 type RAM.	As per your usage you don't need a dedicated graphics card. Dedicated grpahics card is needed for graphics intensive tasks like playing demanding games or professional video editing.	Integrated graphics will be enough.		Not applicable for integrated graphics.	There are 3 types of storages: SSD, 7200RPM HDD and 5400RPM HDD.  SSD: Its much faster, quieter and lighter than both HDD, but its 5-10 times expensive too.  HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Try buying SSD storage.
80000	BP	Avoid buying the old lower generation processor laptops, new ones are much better. I5 6th/7th generation and i7 6th/7th generation, both provide enough computational capability for running engineering softwares or rendering a heavy file in photo editor or compiling a lengthy code. i7 will generally perform faster.	i5 6th/7th generation is good. i7 6th/7th generation would be great.	DDR4 type RAM is 20-30% faster than DDR3 type RAM.  8GB will be required for photo editing softwares, running engineering softwares, coding and will also be helpful in multi-tasking. 4GB won't suffice. However, majority options available in the market have only 4GB of RAM. The good part is - RAM can be upgraded later. So in case you are unhappy with 4GB, you can later expand it to 8GB.	Choose atleast 8GB RAM. Buy DDR4 type RAM.	As per your usage you don't need a dedicated graphics card. Dedicated grpahics card is needed for graphics intensive tasks like playing demanding games or professional video editing. Photo editing softwares / Engineering softwares / Coding are more cpu intensive than gpu intensive. A good processor and RAM are important.	Integrated graphics will be enough.		Not applicable for integrated graphics.	There are 3 types of storages: SSD, 7200RPM HDD and 5400RPM HDD.  SSD: Its much faster, quieter and lighter than both HDD, but its 5-10 times expensive too.  HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Buy SSD storage.
80000	BPT	Avoid buying the old lower generation processor laptops, new ones are much better. I5 6th/7th eneration and i7 6th/7th generation, both provide enough computational capability for running engineering softwares or rendering a heavy file in photo editor or compiling a lengthy code. i7 will generally perform faster.	i5 6th/7th generation is good. i7 6th/7th generation would be great.	DDR4 type RAM is 20-30% faster than DDR3 type RAM.  8GB will be required for photo editing softwares, running engineering softwares, coding and will also be helpful in multi-tasking. 4GB won't suffice. However, majority options available in the market have only 4GB of RAM. The good part is - RAM can be upgraded later. So in case you are unhappy with 4GB, you can later expand it to 8GB.	Choose atleast 8GB RAM. Buy DDR4 type RAM.	As per your usage you don't need a dedicated graphics card. Dedicated grpahics card is needed for graphics intensive tasks like playing demanding games or professional video editing. Photo editing softwares / Engineering softwares / Coding are more cpu intensive than gpu intensive. A good processor and RAM are important.	Integrated graphics will be enough.		Not applicable for integrated graphics.	There are 3 types of storages: SSD, 7200RPM HDD and 5400RPM HDD.  SSD: Its much faster, quieter and lighter than both HDD, but its 5-10 times expensive too.  HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Buy SSD storage.
80000	BV	Avoid buying the old lower generation processor laptops, new ones are much better. I5 6th/7th generation and i7 6th/7th generation, both provide enough computational capability for running engineering softwares or rendering a heavy file in photo/video editor or compiling a lengthy code or running demanding games smoothly.	i5 6th/7th generation is good. i7 6th/7th generation would be great.	DDR4 type RAM is 20-30% faster than DDR3 type RAM.  Atleast 8GB will be required for gaming, photo/video editing, running engineering softwares and coding. 16GB RAM might be useful in case you plan to edit very large video files in high resolution or play extremely demanding games on high settings (1920x1080). RAM can any ways be upgraded later, so in case you are unhappy with 8GB, you can later expand it to 16GB. 	Choose atleast 8GB RAM. Buy DDR4 type RAM.	You will need upper mid-range or high-range graphics processor (GPU) for high resolution gaming & video editing. Don't buy a laptop with low-end graphic card (like AMD R9 M375, R7 M445/M440/M360/M270, R5 M430/M335/M330 or Nvidia GT 920M/920MX/930M/930MX).	Upper range GPUs (1050, 960M..) would be great, upper mid-range (940MX) will be fine	You will need 2GB of VRAM with mid-range GPUs. Mid-range GPUs are not capable of utilizing more than 2GB of VRAM in most cases. So 4GB of VRAM would only be as good as 2GB. With high-end GPUs (in gaming laptops), 4GB VRAM would be useful.	2GB is enough. 4GB would be great.	There are 3 types of storages: SSD, 7200RPM HDD and 5400RPM HDD.  SSD: Its much faster, quieter and lighter than both HDD, but its 5-10 times expensive too.  HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Buy SSD storage or atleast 7200RPM HDD.
80000	BVT	Avoid buying the old lower generation processor laptops, new ones are much better. I5 6th/7th generation and i7 6th/7th generation, both provide enough computational capability for running engineering softwares or rendering a heavy file in photo editor or compiling a lengthy code. i7 will generally perform faster.	i5 6th/7th generation is good. i7 6th/7th generation would be great.	DDR4 type RAM is 20-30% faster than DDR3 type RAM.  8GB will be required for gaming, photo/video editing softwares, running engineering softwares, coding and will also be helpful in multi-tasking. 4GB won't suffice. However, majority options available in the market have only 4GB of RAM. The good part is - RAM can be upgraded later. So in case you are unhappy with 4GB, you can later expand it to 8GB.	Choose atleast 8GB RAM. Buy DDR4 type RAM.	You will need dedicated graphics processor only for the purpose of gaming and video editing. Try not opting for a low-end graphic card (like AMD R5 M430/M335/M330). High end won't be possible in this budget. Mid-range GPUs shall work fine.	Try buying a mid-range GPU (NV GT 940MX,930MX,920MX)	Mid-range GPUs are not capable of utilizing more than 2GB of VRAM in most cases.	2GB VRAM is enough.	There are 3 types of storages: SSD, 7200RPM HDD and 5400RPM HDD.  SSD: Its much faster, quieter and lighter than both HDD, but its 5-10 times expensive too.  HDD: 7200RPM HDD is 33% faster than 5400RPM HDD. Which means saving/opening a file will be 33% faster !	Buy SSD storage.
