B	BP	BV	id	normal / touch / 360 / detachable	Brand	Model	Best Price	Color	Screen	RAM	Processor	VRAM	GPU	Storage	OS	MS offc	Warranty	Thickness	Weight	Backlit keyboard	DVD	91mobiles	Amazon	Flipkart	Snapdeal	Tata Cliq	Croma	screen size in numbers	processor score	gpu score	ddr4/ddr3	gddr5/ddr3	ssd/hdd	RAM Memory	VRAM Memory	cpu score bucket	gpu score bucket	comment on processor	comment on GPU	pic name	series name	part number / model name for HP	model name for HP subtracted	Build Score (x/4)	Build Review	Screen Score (x/4)	Screen Review	Audio Score (x/4)	Audio Review	Keyboard (x/4)	Keyboard Review	Touchpad Score (x/4)	Touchpad Review	Heating Score (x/3)	Heating Review	Additional Cons (not in brackets)	Additional Pros (not in brackets)
24	30	26	11	normal	Acer	Aspire ES1-520 (NX.G2JSI.002)	26399	Black	"15.6"" HD"	4GB DDR3	AMD E1-2500	Integrated	Integrated	1TB 5400RPM	Win 10	No	1 yr											15.6	878	0	0	0	1	4	0	1	0	AMD E1-2500 performs 0-5% better than AMD E1-6010 & 5-10% worse than AMD E1-7010		Aspire ES1_512, 520, 521, 531, 571_15_Black	Aspire ES1-520 	NX.G2JSI.002		2	plastic case, tactile patterns on lid and palm-rest area, stability could be better	2	good brightness and contrast, average color accuracy, poor viewing angles	2	good volume, average quality	3	slightly roughened flat keys, good depth and crisp stroke	3	large area, works well	3	-		
24	30	26	12	normal	Acer	Aspire ES1-521 (NX.G2KSI.014)	22990	Black	"15.6"" HD"	4GB DDR3	AMD E1-6010	Integrated	Integrated	500GB 5400RPM	Win 10	No	1 yr											15.6	841	0	0	0	1	4	0	1	0	AMD E1-6010 performs 30-40% better than AMD A4-1250 & 10-15% worse than AMD E1-7010		Aspire ES1_512, 520, 521, 531, 571_15_Black	Aspire ES1-521 	NX.G2KSI.014		2	plastic case, tactile patterns on lid and palm-rest area, stability could be better	2	good brightness and contrast, average color accuracy, poor viewing angles	2	good volume, average quality	3	slightly roughened flat keys, good depth and crisp stroke	3	large area, works well	3	-		
24	30	26	13	normal	Acer	Aspire ES1-521 (NX.G2KSI.024)	17490	Black	"15.6"" HD"	4GB DDR3	AMD E1-6010	Integrated	Integrated	1TB 5400RPM	DOS	No	1 yr											15.6	841	0	0	0	1	4	0	1	0	AMD E1-6010 performs 30-40% better than AMD A4-1250 & 10-15% worse than AMD E1-7010		Aspire ES1_512, 520, 521, 531, 571_15_Black	Aspire ES1-521 	NX.G2KSI.024		2	plastic case, tactile patterns on lid and palm-rest area, stability could be better	2	good brightness and contrast, average color accuracy, poor viewing angles	2	good volume, average quality	3	slightly roughened flat keys, good depth and crisp stroke	3	large area, works well	3	-		
24	30	26	14	normal	Acer	Aspire ES1-523 (NX.GKYSI.001)	18094	Black	"15.6"" HD"	4GB DDR3	AMD E1-7010	Integrated	Integrated	1TB 5400RPM	Linux	No	1 yr											15.6	974	0	0	0	1	4	0	1	0	AMD E1-7010 performs 5-10% better than Celeron N3050 & 40-50% worse than AMD E2-6110		Aspire ES1_523, 524, 533, 572_15_Black	Aspire ES1-523 	NX.GKYSI.001		3	synthetic material is used, texture on lid and base top, sturdy build	2	average brightness and contrast, poor color accuracy and viewing angles	2	dull tinny sound	2	slightky roughened concave keys for grip,a little shallow	3	smooth, works well	3	underside gets slightly warm under heavy usage		
12	18	24	15	normal	Acer	One 14 Z1402 (UN.G80SI.003)	26900	Black	"14"" HD"	4GB DDR3	i3 5005U	Integrated	Integrated	500GB 5400RPM	DOS	No	1 yr											14	2923	0	0	0	1	4	0	3	0	i3 5005U performs 40-50% better than Pentium N3540 & 5-10% worse than i3 6006U		One 14_Z_14_Black	One 14 Z1402 	UN.G80SI.003		-	-	-	-	-	-	-	-	-	-	-	-		
25	31	25	16	normal	Acer	One 14 P9L1 (UN.G80SI.017)	19965	Black	"14"" HD"	2GB DDR3	Pentium 3556U	Integrated	Integrated	500GB 5400RPM	Linux	No	3 yr											14	1708	0	0	0	1	2	0	2	0	Pentium 3556U performs 70-80% better than Celeron N3060 & 5-10% worse than Pentium N3700		One 14_Z_14_Black	One 14 P9L1 	UN.G80SI.017		-	-	-	-	-	-	-	-	-	-	-	-		
25	31	26	17	detachable	Acer	Aspire Switch 10E SW3-016 (NT.G8VSI.001)	12990	Black	"10.1"" HD"	2GB DDR4	Atom Z3735F	Integrated	Integrated	32GB eMMC	Win 10	No	1 yr											10.1	908	0	1	0	1	2	0	1	0	Atom Z3735F performs 0-5% better than Celeron N3050 & 50-60% worse than Pentium N3700		Aspire Switch 10 E_SW3_10_Black	Aspire Switch 10E SW3-016 	NT.G8VSI.001		2	cheap patterned hard plastic body	3	good brightness, contrast and viewing angles	3	good quality & loud considering size of laptop	3	quiet, comfortable, good quality considering price	3	-	2	gets warm under prolonged or heavy usage		
12	18	24	18	normal	Acer	One 14 (UN.G80SI.046)	26499	Black	"14"" HD"	4GB DDR3	i3 5005U	Integrated	Integrated	1TB 5400RPM	Linux	No	3 yr											14	2923	0	0	0	1	4	0	3	0	i3 5005U performs 40-50% better than Pentium N3540 & 5-10% worse than i3 6006U		One 14_Z_14_Black	One 14 	UN.G80SI.046		-	-	-	-	-	-	-	-	-	-	-	-		
25	31	26	19	normal	Acer	Aspire ES1-111 (NX.MRKSI.004)	18995	Black	"11.6"" HD"	2GB DDR3	Celeron N2840	Integrated	Integrated	500GB 5400RPM	Linux	No	1 yr											11.6	1012	0	0	0	1	2	0	1	0	Celeron N2840 performs 10-15% better than Celeron N3050 & 40-50% worse than Pentium N3700		Aspire ES1_111, 131, 132_11_Black	Aspire ES1-111 	NX.MRKSI.004		3	plastic case, subtle patterns on surfaces	3	good brightness and contrast, poor color accuracy	2	decent quality, average volume considering size	1	spongy wobbly keys	3	smooth, works well	3	-		
25	31	26	20	normal	Acer	Aspire E3-112M (UN.MSRSI.001)	19199	Blue	"11.6"" HD"	2GB DDR3	Celeron N2840	Integrated	Integrated	500GB 5400RPM	Win 8.1	No	1 yr											11.6	1012	0	0	0	1	2	0	1	0	Celeron N2840 performs 10-15% better than Celeron N3050 & 40-50% worse than Pentium N3700		Aspire E3 / E 11_111, 112_11_Blue	Aspire E3-112M 	UN.MSRSI.001		3	well built plastic case, brushed metal finish on lid, glossy display bezel	2	good brightness, poor contrast, average color accuracy and viewing angles	2	located underside, thin sound, lacks bass	3	-	3	multi-touch, smooth surface	2	underside heats up under heavy usage since no fan		
25	31	26	21	normal	Acer	Aspire ES1-512 (NX.MRWSI.002)	21990	Black	"15.6"" HD"	2GB DDR3	Celeron N2840	Integrated	Integrated	500GB 5400RPM	Win 8.1	No	1 yr											15.6	1012	0	0	0	1	2	0	1	0	Celeron N2840 performs 10-15% better than Celeron N3050 & 40-50% worse than Pentium N3700		Aspire ES1_512, 520, 521, 531, 571_15_Black	Aspire ES1-512 	NX.MRWSI.002		2	plastic case, tactile patterns on lid and palm-rest area, stability could be better	2	good brightness and contrast, average color accuracy, poor viewing angles	2	good volume, average quality	3	slightly roughened flat keys, good depth and crisp stroke	3	large area, works well	3	-		
24	30	26	22	normal	Acer	Aspire ES1-512 (NX.MRWEK.002)	22990	Black	"15.6"" HD"	4GB DDR3	Celeron N2840	Integrated	Integrated	500GB 5400RPM	Win 8.1	No	1 yr											15.6	1012	0	0	0	1	4	0	1	0	Celeron N2840 performs 10-15% better than Celeron N3050 & 40-50% worse than Pentium N3700		Aspire ES1_512, 520, 521, 531, 571_15_Black	Aspire ES1-512 	NX.MRWEK.002		2	plastic case, tactile patterns on lid and palm-rest area, stability could be better	2	good brightness and contrast, average color accuracy, poor viewing angles	2	good volume, average quality	3	slightly roughened flat keys, good depth and crisp stroke	3	large area, works well	3	-		
24	30	26	23	normal	Acer	Aspire ES1-531 (NX.MZ8SI.009)	19500	Black	"15.6"" HD"	4GB DDR3	Celeron N3050	Integrated	Integrated	500GB 5400RPM	Linux	No	1 yr											15.6	892	0	0	0	1	4	0	1	0	Celeron N3050 performs 5-10% better than AMD E1-6010 & 50-60% worse than Pentium N3700		Aspire ES1_512, 520, 521, 531, 571_15_Black	Aspire ES1-531 	NX.MZ8SI.009		2	plastic case, tactile patterns on lid and palm-rest area, stability could be better	2	good brightness and contrast, average color accuracy, poor viewing angles	2	good volume, average quality	3	slightly roughened flat keys, good depth and crisp stroke	3	large area, works well	3	-		
25	31	26	24	normal	Acer	Aspire ES1-131 (NX.MYKSI.009)	19850	Black	"11.6"" HD"	2GB DDR3	Celeron N3050	Integrated	Integrated	500GB 5400RPM	Win 10	No	1 yr											11.6	892	0	0	0	1	2	0	1	0	Celeron N3050 performs 5-10% better than AMD E1-6010 & 50-60% worse than Pentium N3700		Aspire ES1_111, 131, 132_11_Black	Aspire ES1-131 	NX.MYKSI.009		3	plastic case, subtle patterns on surfaces	3	good brightness and contrast, poor color accuracy	2	decent quality, average volume considering size	1	spongy wobbly keys	3	smooth, works well	3	-		
25	31	26	25	normal	Acer	Aspire ES1-531 (UN.MZ8SI.023) 	15499	Black	"15.6"" HD"	2GB DDR3	Celeron N3060	Integrated	Integrated	500GB 5400RPM	Linux	No	1 yr											15.6	973	0	0	0	1	2	0	1	0	Celeron N3060 performs 5-10% better than Atom Z3735F & 40-50% worse than Pentium N3700		Aspire ES1_512, 520, 521, 531, 571_15_Black	Aspire ES1-531 	UN.MZ8SI.023		2	plastic case, tactile patterns on lid and palm-rest area, stability could be better	2	good brightness and contrast, average color accuracy, poor viewing angles	2	good volume, average quality	3	slightly roughened flat keys, good depth and crisp stroke	3	large area, works well	3	-		
25	31	26	26	normal	Acer	Aspire ES1-131 (NX.MYKSI.021)	16934	Black	"11.6"" HD"	2GB DDR3	Celeron N3060	Integrated	Integrated	500GB 5400RPM	Win 10	No	1 yr											11.6	973	0	0	0	1	2	0	1	0	Celeron N3060 performs 5-10% better than Atom Z3735F & 40-50% worse than Pentium N3700		Aspire ES1_111, 131, 132_11_Black	Aspire ES1-131 	NX.MYKSI.021		3	plastic case, subtle patterns on surfaces	3	good brightness and contrast, poor color accuracy	2	decent quality, average volume considering size	1	spongy wobbly keys	3	smooth, works well	3	-		
24	30	26	27	normal	Acer	Aspire ES1-531 (NX.MZ8SI.037)	17299	Black	"15.6"" HD"	4GB DDR3	Celeron N3060	Integrated	Integrated	500GB 5400RPM	Linux	No	1 yr											15.6	973	0	0	0	1	4	0	1	0	Celeron N3060 performs 5-10% better than Atom Z3735F & 40-50% worse than Pentium N3700		Aspire ES1_512, 520, 521, 531, 571_15_Black	Aspire ES1-531 	NX.MZ8SI.037		2	plastic case, tactile patterns on lid and palm-rest area, stability could be better	2	good brightness and contrast, average color accuracy, poor viewing angles	2	good volume, average quality	3	slightly roughened flat keys, good depth and crisp stroke	3	large area, works well	3	-		
25	31	26	28	normal	Acer	Aspire ES1-533 (UN.GFTSI.005)	18990	Black	"15.6"" HD"	2GB DDR3	Celeron N3060	Integrated	Integrated	500GB 5400RPM	Win 10	No	1 yr											15.6	973	0	0	0	1	2	0	1	0	Celeron N3060 performs 5-10% better than Atom Z3735F & 40-50% worse than Pentium N3700		Aspire ES1_523, 524, 533, 572_15_Black	Aspire ES1-533 	UN.GFTSI.005		3	synthetic material is used, texture on lid and base top, sturdy build	2	average brightness and contrast, poor color accuracy and viewing angles	2	dull tinny sound	2	slightky roughened concave keys for grip,a little shallow	3	smooth, works well	3	underside gets slightly warm under heavy usage		
25	31	26	29	normal	Acer	Aspire ES1-132 (NX.GG4SI.001)	16490	Blue	"11.6"" HD"	2GB DDR3	Celeron N3350	Integrated	Integrated	500GB 5400RPM	DOS	No	1 yr											11.6	1126	0	0	0	1	2	0	1	0	Celeron N3350 performs 25-30% better than Celeron N3050 & 30-40% worse than Pentium N3700		Aspire ES1_111, 131, 132_11_Black	Aspire ES1-132 	NX.GG4SI.001		3	plastic case, subtle patterns on surfaces	3	good brightness and contrast, poor color accuracy	2	decent quality, average volume considering size	1	spongy wobbly keys	3	smooth, works well	3	-		
25	31	26	30	normal	Acer	Aspire ES1-132 (NX.GG2SI.002)	16500	Black	"11.6"" HD"	2GB DDR3	Celeron N3350	Integrated	Integrated	500GB 5400RPM	Linux	No	1 yr											11.6	1126	0	0	0	1	2	0	1	0	Celeron N3350 performs 25-30% better than Celeron N3050 & 30-40% worse than Pentium N3700		Aspire ES1_111, 131, 132_11_Black	Aspire ES1-132 	NX.GG2SI.002		3	plastic case, subtle patterns on surfaces	3	good brightness and contrast, poor color accuracy	2	decent quality, average volume considering size	1	spongy wobbly keys	3	smooth, works well	3	-		
18	24	24	31	normal	Acer	One 14 (NX.Y52SI.005)	16999	Black	"14"" HD"	4GB DDR3	Pentium N3700	Integrated	Integrated	500GB 5400RPM	Linux	No	1 yr											14	1872	0	0	0	1	4	0	2	0	Pentium N3700 performs 0% better than Celeron N3060 & 40-50% worse than i3 6006U		One 14_Z_14_Black	One 14 	NX.Y52SI.005		-	-	-	-	-	-	-	-	-	-	-	-		
12	18	24	32	normal	Acer	Aspire ES1-571 (NX.GCESI.011)	29875	Black	"15.6"" HD"	4GB DDR3	i3 5005U	Integrated	Integrated	500GB 5400RPM	Win 10	No	1 yr											15.6	2923	0	0	0	1	4	0	3	0	i3 5005U performs 40-50% better than Pentium N3540 & 5-10% worse than i3 6006U		Aspire ES1_512, 520, 521, 531, 571_15_Black	Aspire ES1-571 	NX.GCESI.011		2	plastic case, tactile patterns on lid and palm-rest area, stability could be better	2	good brightness and contrast, average color accuracy, poor viewing angles	2	good volume, average quality	3	slightly roughened flat keys, good depth and crisp stroke	3	large area, works well	3	-		
12	18	24	33	normal	Acer	Aspire ES1-571 (NX.GCESI.001)	24999	Black	"15.6"" HD"	4GB DDR3	i3 5005U	Integrated	Integrated	1TB 5400RPM	Linux	No	1 yr											15.6	2923	0	0	0	1	4	0	3	0	i3 5005U performs 40-50% better than Pentium N3540 & 5-10% worse than i3 6006U		Aspire ES1_512, 520, 521, 531, 571_15_Black	Aspire ES1-571 	NX.GCESI.001		2	plastic case, tactile patterns on lid and palm-rest area, stability could be better	2	good brightness and contrast, average color accuracy, poor viewing angles	2	good volume, average quality	3	slightly roughened flat keys, good depth and crisp stroke	3	large area, works well	3	-		
25	31	26	34	detachable	Acer	One 10 S1002 (NT.G5CSI.001)	20990	Silver	"10.1"" HD"	2GB DDR3	Atom Z3735F	Integrated	Integrated	500GB 5400RPM + 32GB eMMC	Win 10	No	1 yr											10.1	908	0	0	0	1	2	0	1	0	Atom Z3735F performs 0-5% better than Celeron N3050 & 50-60% worse than Pentium N3700		One 10_S1001, S1002_10_Silver	One 10 S1002 	NT.G5CSI.001		4	good quality hard plastic, brushed aluminium finish on lid	3	great contrast, good brightness	2	decent considering size of laptop	3	-	3	-	2	gets warm under prolonged or heavy usage		
12	18	24	35	normal	Acer	Gateway NE-571 (NX.Y55SI.002)	28500	Black	"15.6"" HD"	4GB DDR3	i3 5005U	Integrated	Integrated	1TB 5400RPM	Linux	No	1 yr											15.6	2923	0	0	0	1	4	0	3	0	i3 5005U performs 40-50% better than Pentium N3540 & 5-10% worse than i3 6006U		Gateway NE_NE571_15_Black	Gateway NE-571 	NX.Y55SI.002		-	-	-	-	-	-	-	-	-	-	-	-		
12	18	24	36	normal	Acer	Aspire E5-573 (UN.MVHSI.010)	31215	Grey	"15.6"" HD"	4GB DDR3	i3 5005U	Integrated	Integrated	1TB 5400RPM	Win 10	No	1 yr											15.6	2923	0	0	0	1	4	0	3	0	i3 5005U performs 40-50% better than Pentium N3540 & 5-10% worse than i3 6006U		Aspire E5_532, 573, 574, 552, 522_15_Black	Aspire E5-573 	UN.MVHSI.010		3	good quality plastic case, cloth-like texture on lid, lid could have been stronger	2	average brightness and contrast, bad viewing angles	2	good volume, average quality	3	crisp strokes, good spacing, little noisy	3	large area, smooth and precise	3	-		
12	18	24	37	normal	Acer	Aspire E5-573 (NX.MVHSI.044)	31490	Grey	"15.6"" HD"	4GB DDR3	i3 5005U	Integrated	Integrated	1TB 5400RPM	Win 10	No	1 yr											15.6	2923	0	0	0	1	4	0	3	0	i3 5005U performs 40-50% better than Pentium N3540 & 5-10% worse than i3 6006U		Aspire E5_532, 573, 574, 552, 522_15_Black	Aspire E5-573 	NX.MVHSI.044		3	good quality plastic case, cloth-like texture on lid, lid could have been stronger	2	average brightness and contrast, bad viewing angles	2	good volume, average quality	3	crisp strokes, good spacing, little noisy	3	large area, smooth and precise	3	-		
12	18	24	38	normal	Acer	Aspire E5-573 (NX.MVHSI.043)	32000	Black	"15.6"" HD"	4GB DDR3	i3 5005U	Integrated	Integrated	1TB 5400RPM	DOS	No	1 yr											15.6	2923	0	0	0	1	4	0	3	0	i3 5005U performs 40-50% better than Pentium N3540 & 5-10% worse than i3 6006U		Aspire E5_532, 573, 574, 552, 522_15_Black	Aspire E5-573 	NX.MVHSI.043		3	good quality plastic case, cloth-like texture on lid, lid could have been stronger	2	average brightness and contrast, bad viewing angles	2	good volume, average quality	3	crisp strokes, good spacing, little noisy	3	large area, smooth and precise	3	-		
12	18	24	39	normal	Acer	Aspire F5-571-33M2 (NX.G9ZSI.001)	32990	Black	"15.6"" HD"	4GB DDR3	i3 5005U	Integrated	Integrated	1TB 5400RPM	Win 10	No	1 yr											15.6	2923	0	0	0	1	4	0	3	0	i3 5005U performs 40-50% better than Pentium N3540 & 5-10% worse than i3 6006U		Aspire F5_552, 571, 572, 573_15_Black	Aspire F5-571-33M2 	NX.G9ZSI.001		3	made of aluminium and plastic, aluminium finsih on lid and palm-rest area, stable construction	3	-	3	good volume, average quality	4	crisp strokes, firm keys	4	chrome frame, smooth surface, precise and accurate	2	major hotspot is underside the fan grill, but only under heavy usage		
12	18	24	40	normal	Acer	Aspire ES1-571 (NX.GCESI.013)	33990	Black	"15.6"" HD"	4GB DDR3	i3 5005U	Integrated	Integrated	1TB 5400RPM	Win 10	No	1 yr											15.6	2923	0	0	0	1	4	0	3	0	i3 5005U performs 40-50% better than Pentium N3540 & 5-10% worse than i3 6006U		Aspire ES1_512, 520, 521, 531, 571_15_Black	Aspire ES1-571 	NX.GCESI.013		2	plastic case, tactile patterns on lid and palm-rest area, stability could be better	2	good brightness and contrast, average color accuracy, poor viewing angles	2	good volume, average quality	3	slightly roughened flat keys, good depth and crisp stroke	3	large area, works well	3	-		
3	9	21	41	normal	Acer	Aspire ES1-572 (NX.GKQSI.007)	28490	Black	"15.6"" HD"	4GB DDR4	i3 6006U	Integrated	Integrated	500GB 5400RPM	Win 10	No	1 yr											15.6	3143	0	1	0	1	4	0	4	0	i3 6006U performs 5-10% better than i3 5005U & 15-20% worse than i3 7100U		Aspire ES1_523, 524, 533, 572_15_Black	Aspire ES1-572 	NX.GKQSI.007		3	synthetic material is used, texture on lid and base top, sturdy build	2	average brightness and contrast, poor color accuracy and viewing angles	2	dull tinny sound	2	slightky roughened concave keys for grip,a little shallow	3	smooth, works well	3	underside gets slightly warm under heavy usage		
6	12	24	42	normal	Acer	Aspire ES1-572 (NX.GKQSI.001)	26299	Black	"15.6"" HD"	4GB DDR3	i3 6006U	Integrated	Integrated	1TB 5400RPM	Linux	No	1 yr											15.6	3143	0	0	0	1	4	0	4	0	i3 6006U performs 5-10% better than i3 5005U & 15-20% worse than i3 7100U		Aspire ES1_523, 524, 533, 572_15_Black	Aspire ES1-572 	NX.GKQSI.001		3	synthetic material is used, texture on lid and base top, sturdy build	2	average brightness and contrast, poor color accuracy and viewing angles	2	dull tinny sound	2	slightky roughened concave keys for grip,a little shallow	3	smooth, works well	3	underside gets slightly warm under heavy usage		
6	12	24	43	normal	Acer	Aspire E5-575 (NX.GE6SI.021)	27890	Black	"15.6"" HD"	4GB DDR3	i3 6006U	Integrated	Integrated	1TB 5400RPM	Linux	No	1 yr											15.6	3143	0	0	0	1	4	0	4	0	i3 6006U performs 5-10% better than i3 5005U & 15-20% worse than i3 7100U		Aspire E5_523, 553, 575_15_Black	Aspire E5-575 	NX.GE6SI.021		3	plastic case, palm rest area has subtle brushed finish, bottom and lid have line pattern, lid is soft and flexible but solid case overall	2	average brightness and contrast, bad viewing angles	2	average quality, slightly hollow sound, good voulme	3	slightky roughened concave keys for grip, numeric keypad is small	4	glossy edges, smooth surface, precise and accurate	2	underside heats up under heavy usage		
